{'timestamp': '2024-01-30 22:03:13', 'cpu_usage': 11.5, 'memory_usage': 64.24, 'disk_free': 728635}
{'timestamp': '2024-01-30 22:03:20', 'cpu_usage': 7.7, 'memory_usage': 64.28, 'disk_free': 728628}
{'timestamp': '2024-01-30 22:03:26', 'cpu_usage': 17.3, 'memory_usage': 64.37, 'disk_free': 728628}
{'timestamp': '2024-01-30 22:03:32', 'cpu_usage': 21.4, 'memory_usage': 64.37, 'disk_free': 728628}
{'timestamp': '2024-01-30 22:03:39', 'cpu_usage': 1.9, 'memory_usage': 64.41, 'disk_free': 728628}
{'timestamp': '2024-01-30 22:03:45', 'cpu_usage': 37.7, 'memory_usage': 64.35, 'disk_free': 728628}
{'timestamp': '2024-01-30 22:04:31', 'cpu_usage': 13.5, 'memory_usage': 64.46, 'disk_free': 728599}
{'timestamp': '2024-01-30 22:08:23', 'cpu_usage': 5.9, 'memory_usage': 64.26, 'disk_free': 728484}
{'timestamp': '2024-01-30 22:08:38', 'cpu_usage': 1.8, 'memory_usage': 64.15, 'disk_free': 728465}
{'timestamp': '2024-01-30 22:08:53', 'cpu_usage': 2.1, 'memory_usage': 64.16, 'disk_free': 728453}
{'timestamp': '2024-01-30 22:09:08', 'cpu_usage': 47.3, 'memory_usage': 63.81, 'disk_free': 728448}
{'timestamp': '2024-01-30 22:09:23', 'cpu_usage': 17.3, 'memory_usage': 64.03, 'disk_free': 728440}
{'timestamp': '2024-01-30 22:09:38', 'cpu_usage': 7.7, 'memory_usage': 64.02, 'disk_free': 728430}
{'timestamp': '2024-01-30 22:09:52', 'cpu_usage': 12.0, 'memory_usage': 64.0, 'disk_free': 728428}
{'timestamp': '2024-01-30 22:10:07', 'cpu_usage': 9.6, 'memory_usage': 64.14, 'disk_free': 728406}
{'timestamp': '2024-01-30 22:10:22', 'cpu_usage': 17.3, 'memory_usage': 63.96, 'disk_free': 728397}
{'timestamp': '2024-01-30 22:12:36', 'cpu_usage': 5.8, 'memory_usage': 64.11, 'disk_free': 728346}
{'timestamp': '2024-01-30 22:12:50', 'cpu_usage': 7.7, 'memory_usage': 64.14, 'disk_free': 728338}
{'timestamp': '2024-01-30 22:14:33', 'cpu_usage': 9.6, 'memory_usage': 64.26, 'disk_free': 728292}
{'timestamp': '2024-01-30 22:14:47', 'cpu_usage': 5.9, 'memory_usage': 64.19, 'disk_free': 728292}
{'timestamp': '2024-01-30 22:15:02', 'cpu_usage': 1.9, 'memory_usage': 64.19, 'disk_free': 728292}
{'timestamp': '2024-01-30 22:15:17', 'cpu_usage': 7.4, 'memory_usage': 64.21, 'disk_free': 728292}
{'timestamp': '2024-01-30 22:15:32', 'cpu_usage': 9.6, 'memory_usage': 64.01, 'disk_free': 728285}
{'timestamp': '2024-01-30 22:15:46', 'cpu_usage': 10.0, 'memory_usage': 63.84, 'disk_free': 728285}
{'timestamp': '2024-01-30 22:16:01', 'cpu_usage': 7.1, 'memory_usage': 63.97, 'disk_free': 728285}
{'timestamp': '2024-01-30 22:16:16', 'cpu_usage': 67.9, 'memory_usage': 63.95, 'disk_free': 728278}
{'timestamp': '2024-01-30 22:16:31', 'cpu_usage': 5.8, 'memory_usage': 63.68, 'disk_free': 728278}
{'timestamp': '2024-01-30 22:16:46', 'cpu_usage': 13.5, 'memory_usage': 63.82, 'disk_free': 728278}
{'timestamp': '2024-01-30 22:17:01', 'cpu_usage': 16.1, 'memory_usage': 63.85, 'disk_free': 728278}
{'timestamp': '2024-01-30 22:17:16', 'cpu_usage': 8.8, 'memory_usage': 63.82, 'disk_free': 728278}
{'timestamp': '2024-01-30 22:17:30', 'cpu_usage': 9.6, 'memory_usage': 63.65, 'disk_free': 728268}
{'timestamp': '2024-01-30 22:17:45', 'cpu_usage': 66.1, 'memory_usage': 63.72, 'disk_free': 728259}
{'timestamp': '2024-01-30 22:18:00', 'cpu_usage': 16.1, 'memory_usage': 63.84, 'disk_free': 728259}
{'timestamp': '2024-01-30 22:18:29', 'cpu_usage': 12.5, 'memory_usage': 63.49, 'disk_free': 728479}
{'timestamp': '2024-01-30 22:19:20', 'cpu_usage': 20.8, 'memory_usage': 63.12, 'disk_free': 728388}
{'timestamp': '2024-01-30 22:19:27', 'cpu_usage': 5.4, 'memory_usage': 63.34, 'disk_free': 728388}
{'timestamp': '2024-01-30 22:19:33', 'cpu_usage': 1.8, 'memory_usage': 63.46, 'disk_free': 729213}
{'timestamp': '2024-01-30 22:19:39', 'cpu_usage': 84.6, 'memory_usage': 63.37, 'disk_free': 729172}
{'timestamp': '2024-01-30 22:19:46', 'cpu_usage': 18.9, 'memory_usage': 63.31, 'disk_free': 729172}
{'timestamp': '2024-01-30 22:19:52', 'cpu_usage': 40.7, 'memory_usage': 63.45, 'disk_free': 729172}
{'timestamp': '2024-01-30 22:19:59', 'cpu_usage': 7.7, 'memory_usage': 63.44, 'disk_free': 729172}
{'timestamp': '2024-01-30 22:20:05', 'cpu_usage': 5.5, 'memory_usage': 63.45, 'disk_free': 729172}
{'timestamp': '2024-01-30 22:20:11', 'cpu_usage': 20.8, 'memory_usage': 63.38, 'disk_free': 729172}
{'timestamp': '2024-01-30 22:20:18', 'cpu_usage': 23.1, 'memory_usage': 63.42, 'disk_free': 729172}
{'timestamp': '2024-01-30 22:20:24', 'cpu_usage': 19.2, 'memory_usage': 63.43, 'disk_free': 729172}
{'timestamp': '2024-01-30 22:20:31', 'cpu_usage': 1.9, 'memory_usage': 63.28, 'disk_free': 729172}
{'timestamp': '2024-01-30 22:20:37', 'cpu_usage': 36.5, 'memory_usage': 63.3, 'disk_free': 729172}
{'timestamp': '2024-01-30 22:20:43', 'cpu_usage': 35.8, 'memory_usage': 63.25, 'disk_free': 729172}
{'timestamp': '2024-01-30 22:20:50', 'cpu_usage': 9.6, 'memory_usage': 63.3, 'disk_free': 729172}
{'timestamp': '2024-01-30 22:20:56', 'cpu_usage': 33.9, 'memory_usage': 63.46, 'disk_free': 729172}
{'timestamp': '2024-01-30 22:21:03', 'cpu_usage': 22.6, 'memory_usage': 63.38, 'disk_free': 729172}
{'timestamp': '2024-01-30 22:21:09', 'cpu_usage': 9.6, 'memory_usage': 63.3, 'disk_free': 729172}
{'timestamp': '2024-01-30 22:21:15', 'cpu_usage': 33.9, 'memory_usage': 63.06, 'disk_free': 729172}
{'timestamp': '2024-01-30 22:21:22', 'cpu_usage': 32.7, 'memory_usage': 63.07, 'disk_free': 729172}
{'timestamp': '2024-01-30 22:21:28', 'cpu_usage': 28.8, 'memory_usage': 63.04, 'disk_free': 729172}
{'timestamp': '2024-01-30 22:21:35', 'cpu_usage': 20.7, 'memory_usage': 63.35, 'disk_free': 729172}
{'timestamp': '2024-01-30 22:21:41', 'cpu_usage': 63.6, 'memory_usage': 63.49, 'disk_free': 729172}
{'timestamp': '2024-01-30 22:21:47', 'cpu_usage': 77.1, 'memory_usage': 63.34, 'disk_free': 729172}
{'timestamp': '2024-01-30 22:21:54', 'cpu_usage': 11.5, 'memory_usage': 63.3, 'disk_free': 729172}
{'timestamp': '2024-01-30 22:22:00', 'cpu_usage': 46.0, 'memory_usage': 63.31, 'disk_free': 729172}
{'timestamp': '2024-01-30 22:22:07', 'cpu_usage': 1.8, 'memory_usage': 63.36, 'disk_free': 729172}
{'timestamp': '2024-01-30 22:22:13', 'cpu_usage': 13.5, 'memory_usage': 63.44, 'disk_free': 729165}
{'timestamp': '2024-01-30 22:22:19', 'cpu_usage': 10.7, 'memory_usage': 63.29, 'disk_free': 729165}
{'timestamp': '2024-01-30 22:22:26', 'cpu_usage': 11.5, 'memory_usage': 63.41, 'disk_free': 729164}
{'timestamp': '2024-01-30 22:22:32', 'cpu_usage': 30.8, 'memory_usage': 63.46, 'disk_free': 729158}
{'timestamp': '2024-01-30 22:22:39', 'cpu_usage': 34.5, 'memory_usage': 63.38, 'disk_free': 729158}
{'timestamp': '2024-01-30 22:22:45', 'cpu_usage': 7.7, 'memory_usage': 63.36, 'disk_free': 729151}
{'timestamp': '2024-01-30 22:22:51', 'cpu_usage': 8.9, 'memory_usage': 63.37, 'disk_free': 729151}
{'timestamp': '2024-01-30 22:22:58', 'cpu_usage': 51.9, 'memory_usage': 63.38, 'disk_free': 729151}
{'timestamp': '2024-01-30 22:23:04', 'cpu_usage': 36.5, 'memory_usage': 63.4, 'disk_free': 729151}
{'timestamp': '2024-01-30 22:23:10', 'cpu_usage': 19.6, 'memory_usage': 63.41, 'disk_free': 729151}
{'timestamp': '2024-01-30 22:23:17', 'cpu_usage': 10.0, 'memory_usage': 63.38, 'disk_free': 729151}
{'timestamp': '2024-01-30 22:23:23', 'cpu_usage': 47.4, 'memory_usage': 62.99, 'disk_free': 729123}
{'timestamp': '2024-01-30 22:23:58', 'cpu_usage': 4.0, 'memory_usage': 63.5, 'disk_free': 729113}
{'timestamp': '2024-01-30 22:24:05', 'cpu_usage': 4.0, 'memory_usage': 63.48, 'disk_free': 729113}
{'timestamp': '2024-01-30 22:24:11', 'cpu_usage': 2.0, 'memory_usage': 63.33, 'disk_free': 729113}
{'timestamp': '2024-01-30 22:24:18', 'cpu_usage': 1.8, 'memory_usage': 63.36, 'disk_free': 729113}
{'timestamp': '2024-01-30 22:24:24', 'cpu_usage': 29.1, 'memory_usage': 63.42, 'disk_free': 729113}
{'timestamp': '2024-01-30 22:24:30', 'cpu_usage': 6.0, 'memory_usage': 63.42, 'disk_free': 729088}
{'timestamp': '2024-01-30 22:24:37', 'cpu_usage': 7.8, 'memory_usage': 63.46, 'disk_free': 729062}
{'timestamp': '2024-01-30 22:24:43', 'cpu_usage': 37.5, 'memory_usage': 63.4, 'disk_free': 729062}
{'timestamp': '2024-01-30 22:24:50', 'cpu_usage': 17.3, 'memory_usage': 63.38, 'disk_free': 729070}
{'timestamp': '2024-01-30 22:24:56', 'cpu_usage': 6.4, 'memory_usage': 63.39, 'disk_free': 729070}
{'timestamp': '2024-01-30 22:25:02', 'cpu_usage': 14.3, 'memory_usage': 62.98, 'disk_free': 729064}
{'timestamp': '2024-01-30 22:25:09', 'cpu_usage': 11.5, 'memory_usage': 63.34, 'disk_free': 729058}
{'timestamp': '2024-01-30 22:25:15', 'cpu_usage': 2.0, 'memory_usage': 63.39, 'disk_free': 729058}
{'timestamp': '2024-01-30 22:25:21', 'cpu_usage': 15.2, 'memory_usage': 63.44, 'disk_free': 729058}
{'timestamp': '2024-01-30 22:25:28', 'cpu_usage': 7.3, 'memory_usage': 63.45, 'disk_free': 729058}
{'timestamp': '2024-01-30 22:25:34', 'cpu_usage': 12.0, 'memory_usage': 63.46, 'disk_free': 729058}
{'timestamp': '2024-01-30 22:25:41', 'cpu_usage': 7.7, 'memory_usage': 63.48, 'disk_free': 729058}
{'timestamp': '2024-01-30 22:25:47', 'cpu_usage': 2.0, 'memory_usage': 63.47, 'disk_free': 729058}
{'timestamp': '2024-01-30 22:25:53', 'cpu_usage': 3.7, 'memory_usage': 63.48, 'disk_free': 729058}
