{'timestamp': '2024-01-31 00:15:58', 'cpu_usage': 3.1, 'memory_free': 40.4, 'disk_free': 735058}
{'timestamp': '2024-01-31 00:16:12', 'cpu_usage': 3.1, 'memory_free': 40.4, 'disk_free': 735058}
{'timestamp': '2024-01-31 00:16:25', 'cpu_usage': 2.3, 'memory_free': 40.4, 'disk_free': 735058}
{'timestamp': '2024-01-31 00:16:38', 'cpu_usage': 4.6, 'memory_free': 40.4, 'disk_free': 735058}
{'timestamp': '2024-01-31 00:16:51', 'cpu_usage': 3.9, 'memory_free': 40.3, 'disk_free': 735058}
{'timestamp': '2024-01-31 00:17:04', 'cpu_usage': 0.8, 'memory_free': 40.3, 'disk_free': 735058}
{'timestamp': '2024-01-31 00:17:17', 'cpu_usage': 1.6, 'memory_free': 40.4, 'disk_free': 735058}
{'timestamp': '2024-01-31 00:17:30', 'cpu_usage': 3.9, 'memory_free': 40.3, 'disk_free': 735058}
{'timestamp': '2024-01-31 00:17:43', 'cpu_usage': 3.1, 'memory_free': 40.4, 'disk_free': 735058}
{'timestamp': '2024-01-31 00:17:56', 'cpu_usage': 4.7, 'memory_free': 40.4, 'disk_free': 735058}
{'timestamp': '2024-01-31 00:18:09', 'cpu_usage': 4.7, 'memory_free': 40.3, 'disk_free': 735058}
{'timestamp': '2024-01-31 00:18:22', 'cpu_usage': 3.9, 'memory_free': 40.4, 'disk_free': 735058}
{'timestamp': '2024-01-31 00:18:35', 'cpu_usage': 3.9, 'memory_free': 40.3, 'disk_free': 735058}
{'timestamp': '2024-01-31 00:18:48', 'cpu_usage': 3.1, 'memory_free': 40.3, 'disk_free': 735058}
{'timestamp': '2024-01-31 00:19:01', 'cpu_usage': 3.9, 'memory_free': 40.3, 'disk_free': 735058}
{'timestamp': '2024-01-31 00:19:14', 'cpu_usage': 3.1, 'memory_free': 40.3, 'disk_free': 735058}
{'timestamp': '2024-01-31 00:19:27', 'cpu_usage': 4.7, 'memory_free': 40.3, 'disk_free': 735058}
{'timestamp': '2024-01-31 00:19:40', 'cpu_usage': 3.1, 'memory_free': 40.3, 'disk_free': 735045}
{'timestamp': '2024-01-31 00:19:53', 'cpu_usage': 4.7, 'memory_free': 40.2, 'disk_free': 735045}
{'timestamp': '2024-01-31 00:20:06', 'cpu_usage': 2.3, 'memory_free': 40.0, 'disk_free': 735088}
{'timestamp': '2024-01-31 00:20:19', 'cpu_usage': 6.9, 'memory_free': 40.1, 'disk_free': 735074}
{'timestamp': '2024-01-31 00:20:32', 'cpu_usage': 3.9, 'memory_free': 40.1, 'disk_free': 735044}
{'timestamp': '2024-01-31 00:20:45', 'cpu_usage': 3.1, 'memory_free': 40.7, 'disk_free': 735044}
{'timestamp': '2024-01-31 00:20:58', 'cpu_usage': 4.7, 'memory_free': 40.7, 'disk_free': 735044}
{'timestamp': '2024-01-31 00:21:11', 'cpu_usage': 2.3, 'memory_free': 40.7, 'disk_free': 735044}
{'timestamp': '2024-01-31 00:21:24', 'cpu_usage': 3.9, 'memory_free': 40.7, 'disk_free': 735044}
{'timestamp': '2024-01-31 00:21:37', 'cpu_usage': 4.7, 'memory_free': 40.7, 'disk_free': 735044}
